  UID   PID  PPID   C STIME   TTY           TIME CMD
    0   200     1   0  9May20 ??         0:00.64 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
    0   201     1   0  9May20 ??         0:00.02 /usr/sbin/KernelEventAgent
    0   202     1   0  9May20 ??         1:26.67 /Library/PrivilegedHelperTools/DisplayLink/DisplayLinkManager
    0   204     1   0  9May20 ??         1:10.41 /usr/sbin/bluetoothd
  261   205     1   0  9May20 ??         2:11.58 /usr/libexec/hidd
    0   207     1   0  9May20 ??         0:05.51 /usr/libexec/corebrightnessd --launchd
    0   208     1   0  9May20 ??         0:13.19 /usr/libexec/AirPlayXPCHelper
    0   209     1   0  9May20 ??         0:07.69 /usr/libexec/amfid
    0   210     1   0  9May20 ??         0:34.71 /usr/sbin/notifyd
  241   211     1   0  9May20 ??         0:01.30 /usr/sbin/distnoted daemon
    0   212     1   0  9May20 ??         8:51.52 /usr/libexec/syspolicyd
    0   213     1   0  9May20 ??         0:17.58 /usr/sbin/cfprefsd daemon
    0   214     1   0  9May20 ??         1:12.05 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd system
    0   215     1   0  9May20 ??         0:00.67 aslmanager
    0   216     1   0  9May20 ??         0:10.01 /System/Library/CoreServices/coreservicesd
  502   229     1   0  9May20 ??         1:47.77 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
    0   258     1   0  9May20 ??         0:07.03 /usr/libexec/taskgated
    0   259     1   0  9May20 ??         0:02.92 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
    0   272     1   0  9May20 ??         2:29.24 /usr/libexec/trustd
  263   273     1   0  9May20 ??         0:26.74 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  202   274     1   0  9May20 ??         4:25.71 /usr/sbin/coreaudiod
    0   278     1   0  9May20 ??         0:09.83 /usr/libexec/lsd runAsRoot
    0   279     1   0  9May20 ??         0:20.45 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
    0   284     1   0  9May20 ??         0:01.04 /usr/libexec/nehelper
  202   287     1   0  9May20 ??         0:00.30 /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
    0   288     1   0  9May20 ??         0:06.32 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd-helper -launchd
    0   294     1   0  9May20 ??         0:00.65 /usr/libexec/searchpartyd
   88   309     1   0  9May20 ??        26:40.48 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
   24   310     1   0  9May20 ??         0:40.42 /usr/libexec/symptomsd
   65   311     1   0  9May20 ??         0:28.40 /usr/sbin/mDNSResponder
    0   313     1   0  9May20 ??         0:02.31 /usr/sbin/mDNSResponderHelper
    0   314     1   0  9May20 ??         0:02.95 /usr/libexec/tailspind
    0   316     1   0  9May20 ??         0:06.11 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
  205   326     1   0  9May20 ??         0:02.93 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  205   327     1   0  9May20 ??         0:00.32 /usr/libexec/secinitd
    0   417     1   0  9May20 ??         0:11.47 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
    0   418     1   0  9May20 ??         0:31.02 /usr/libexec/runningboardd
  205   419     1   0  9May20 ??         0:00.02 /usr/sbin/cfprefsd agent
  205   425     1   0  9May20 ??         0:01.20 /usr/libexec/trustd --agent
    0   428     1   0  9May20 ??         0:01.08 /usr/libexec/diskmanagementd
    0   429     1   0  9May20 ??         3:42.94 /usr/libexec/airportd
  242   434     1   0  9May20 ??         0:06.78 /usr/libexec/nsurlsessiond --privileged
    0   435     1   0  9May20 ??         0:00.08 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar -daemon
  202   436     1   0  9May20 ??         0:00.01 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
    0   446     1   0  9May20 ??         8:31.17 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
    0   453     1   0  9May20 ??         0:00.06 /usr/libexec/smd
    0   455     1   0  9May20 ??         0:00.30 /usr/libexec/secinitd
    0   456     1   0  9May20 ??         0:00.24 /System/Library/CryptoTokenKit/com.apple.ifdreader.slotd/Contents/MacOS/com.apple.ifdreader
    0   457     1   0  9May20 ??         0:00.71 /usr/libexec/apfsd
    0   458     1   0  9May20 ??         0:08.85 /usr/libexec/usbd
    0   459     1   0  9May20 ??         0:00.83 /usr/libexec/thermald
  262   460     1   0  9May20 ??         0:01.48 /System/Library/Frameworks/CoreMediaIO.framework/Resources/VDC.plugin/Contents/Resources/VDCAssistant
    0   462     1   0  9May20 ??         0:11.46 /usr/libexec/mobileassetd
    0   464     1   0  9May20 ??         0:33.42 /usr/libexec/ApplicationFirewall/socketfilterfw
    0   466     1   0  9May20 ??         0:00.17 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
    0   467     1   0  9May20 ??         0:00.37 /usr/libexec/colorsync.displayservices
    0   469     1   0  9May20 ??         0:00.10 /usr/libexec/colorsyncd
   55   472     1   0  9May20 ??         0:21.20 /System/Library/CoreServices/appleeventsd --server
    0   473     1   0  9May20 ??         0:05.30 /usr/libexec/sysmond
    0   474   153   0  9May20 ??         0:00.57 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
    0   475     1   0  9May20 ??         0:00.02 /usr/libexec/bootinstalld
    0   479     1   0  9May20 ??         0:03.25 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
    0   480     1   0  9May20 ??         0:00.22 /usr/sbin/distnoted agent
    0   482     1   0  9May20 ??         0:00.06 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
    0   483     1   0  9May20 ??         0:00.32 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  259   486     1   0  9May20 ??         0:00.04 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -s
    0   488     1   0  9May20 ??         0:00.11 /System/Library/PrivateFrameworks/AccountPolicy.framework/XPCServices/com.apple.AccountPolicyHelper.xpc/Contents/MacOS/com.apple.AccountPolicyHelper
    0   489     1   0  9May20 ??         0:00.90 /usr/sbin/systemsoundserverd
    0   490     1   0  9May20 ??         0:00.13 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/XPCServices/com.apple.cmio.registerassistantservice.xpc/Contents/MacOS/com.apple.cmio.registerassistantservice
  262   491     1   0  9May20 ??         0:03.83 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/AppleCamera.plugin/Contents/Resources/AppleCameraAssistant
  258   494     1   0  9May20 ??         0:00.46 /usr/libexec/captiveagent
    0   495     1   0  9May20 ??         0:01.29 /usr/libexec/findmydeviced
    0   496     1   0  9May20 ??         0:00.02 /System/Library/PrivateFrameworks/FindMyMac.framework/Resources/FindMyMacd
  260   498     1   0  9May20 ??         0:00.39 /usr/libexec/nfcd
    0   506     1   0  9May20 ??         0:00.79 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  205   507     1   0  9May20 ??         0:00.20 /usr/sbin/distnoted agent
  265   508     1   0  9May20 ??         0:02.58 /System/Library/PrivateFrameworks/CoreADI.framework/adid
    0   509     1   0  9May20 ??         0:19.65 /System/Library/PrivateFrameworks/StorageKit.framework/Resources/storagekitd
    0   510     1   0  9May20 ??         0:00.31 /System/Library/CoreServices/iconservicesagent runAsRoot
    0   511     1   0  9May20 ??         0:10.63 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
    0   514     1   0  9May20 ??         0:00.04 /System/Library/Frameworks/GSS.framework/Helpers/GSSCred
  502   516     1   0  9May20 ??         0:00.60 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  502   517     1   0  9May20 ??         0:29.24 /usr/sbin/cfprefsd agent
    0   518     1   0  9May20 ??         0:00.12 /usr/libexec/securityd_service
  502   519     1   0  9May20 ??         0:20.30 /usr/libexec/UserEventAgent (Aqua)
  502   521     1   0  9May20 ??         0:23.62 /usr/sbin/distnoted agent
  502   523     1   0  9May20 ??         0:02.74 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
  502   524     1   0  9May20 ??         0:37.48 /usr/libexec/knowledge-agent
  502   525     1   0  9May20 ??         0:11.64 /usr/libexec/lsd
  502   526     1   0  9May20 ??         1:08.42 /usr/libexec/secd
  502   528     1   0  9May20 ??         1:43.83 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  502   529     1   0  9May20 ??        21:52.64 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome -psn_0_61455
  502   531     1   0  9May20 ??         0:06.15 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd
  502   532     1   0  9May20 ??         0:00.33 /System/Library/CoreServices/backgroundtaskmanagementagent
  502   533     1   0  9May20 ??         0:36.98 /usr/libexec/nsurlsessiond
  502   534     1   0  9May20 ??         0:19.67 /System/Library/CoreServices/sharedfilelistd
  502   535     1   0  9May20 ??         0:00.91 /System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/CloudKeychainProxy
  502   537     1   0  9May20 ??        20:00.95 /System/Applications/Mail.app/Contents/MacOS/Mail -psn_0_65552
  502   539     1   0  9May20 ??         9:41.18 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  502   543     1   0  9May20 ??         0:01.64 /System/Library/CoreServices/talagent
  502   544     1   0  9May20 ??         0:44.05 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  502   545     1   0  9May20 ??         1:17.05 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  502   546     1   0  9May20 ??         1:42.55 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  502   549     1   0  9May20 ??         0:09.84 /usr/libexec/pboard
  502   550     1   0  9May20 ??         0:01.23 /System/Library/Frameworks/Quartz.framework/Versions/A/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
  502   551     1   0  9May20 ??         0:59.88 /usr/libexec/secinitd
  502   552     1   0  9May20 ??         0:15.90 /usr/libexec/pkd
  502   553     1   0  9May20 ??         0:03.61 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  502   554     1   0  9May20 ??         0:04.30 /usr/libexec/dmd
  502   555     1   0  9May20 ??         0:12.41 /usr/libexec/rapportd
  502   556     1   0  9May20 ??         0:00.90 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
  502   558     1   0  9May20 ??         0:17.48 /System/Library/CoreServices/iconservicesagent
  502   560     1   0  9May20 ??         0:02.28 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
  502   563     1   0  9May20 ??         0:17.88 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  502   565     1   0  9May20 ??         3:48.95 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
  502   566     1   0  9May20 ??         0:04.27 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
  502   567     1   0  9May20 ??         0:08.72 /usr/sbin/usernoted
  502   568     1   0  9May20 ??         0:00.46 /usr/libexec/networkserviceproxy
  502   569     1   0  9May20 ??         0:11.33 /System/Library/CoreServices/lockoutagent
  502   570     1   0  9May20 ??         0:13.63 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
  502   571     1   0  9May20 ??         0:00.07 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
  502   572     1   0  9May20 ??         0:02.10 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
  502   573     1   0  9May20 ??         0:30.08 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  502   574     1   0  9May20 ??         0:12.58 /usr/libexec/nsurlstoraged
  502   575     1   0  9May20 ??         0:02.76 /System/Library/CoreServices/mapspushd
  502   576     1   0  9May20 ??         0:19.48 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  502   577     1   0  9May20 ??         0:00.02 /System/Library/CoreServices/APFSUserAgent
  502   578     1   0  9May20 ??         0:04.10 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
    0   579     1   0  9May20 ??         0:02.25 /usr/sbin/filecoordinationd
  502   581     1   0  9May20 ??         0:07.81 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
  502   582     1   0  9May20 ??         0:01.68 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
  502   583     1   0  9May20 ??        11:22.64 /System/Library/PrivateFrameworks/CalendarAgent.framework/Executables/CalendarAgent
  502   584     1   0  9May20 ??         0:12.80 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
  502   585     1   0  9May20 ??         0:05.01 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
  502   586     1   0  9May20 ??         2:48.08 /System/Library/PrivateFrameworks/CalendarNotification.framework/Versions/A/XPCServices/CalNCService.xpc/Contents/MacOS/CalNCService
  502   588     1   0  9May20 ??         0:00.60 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
  502   590     1   0  9May20 ??         2:46.13 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
    0   591     1   0  9May20 ??         0:02.03 /usr/sbin/WirelessRadioManagerd
  502   592     1   0  9May20 ??         2:02.95 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
  502   593     1   0  9May20 ??         0:06.36 /System/Library/Frameworks/AddressBook.framework/Executables/ContactsAccountsService
  502   594     1   0  9May20 ??         2:04.98 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  502   595     1   0  9May20 ??         0:15.04 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
  502   596     1   0  9May20 ??         0:03.94 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  502   597     1   0  9May20 ??         0:09.25 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
  502   599     1   0  9May20 ??         0:45.87 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  502   600     1   0  9May20 ??         0:13.95 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  502   601     1   0  9May20 ??         0:02.24 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
  502   602     1   0  9May20 ??         0:00.60 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeaccountd
  502   603     1   0  9May20 ??         0:07.03 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
  502   604     1   0  9May20 ??         0:16.68 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  502   605     1   0  9May20 ??         0:04.44 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
  502   606     1   0  9May20 ??         1:52.61 /usr/libexec/sharingd
  502   607     1   0  9May20 ??         0:00.39 /usr/libexec/neagent
  502   608     1   0  9May20 ??         0:00.94 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
  502   609     1   0  9May20 ??         0:00.33 /System/Library/CoreServices/pbs
  502   612     1   0  9May20 ??         0:00.10 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
  502   613     1   0  9May20 ??         0:02.08 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
  502   614     1   0  9May20 ??         0:01.25 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
    0   615     1   0  9May20 ??         0:43.01 /usr/sbin/spindump
  502   616     1   0  9May20 ??         0:00.11 /usr/libexec/spindump_agent
    0   617     1   0  9May20 ??         0:08.94 /System/Library/CoreServices/SubmitDiagInfo server-init
  502   620     1   0  9May20 ??         0:03.42 /System/Library/PrivateFrameworks/CloudPhotoServices.framework/Versions/A/XPCServices/com.apple.CloudPhotosConfiguration.xpc/Contents/MacOS/com.apple.CloudPhotosConfiguration
  502   621     1   0  9May20 ??         0:00.60 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
  502   622     1   0  9May20 ??         0:00.03 /System/Library/PrivateFrameworks/login.framework/Versions/A/XPCServices/LoginUserService.xpc/Contents/MacOS/LoginUserService
  502   631     1   0  9May20 ??         0:00.34 /System/Library/CoreServices/NotificationCenter.app/Contents/XPCServices/com.apple.notificationcenterui.WeatherSummary.xpc/Contents/MacOS/com.apple.notificationcenterui.WeatherSummary
  502   632     1   0  9May20 ??         0:00.84 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
    0   633     1   0  9May20 ??         0:00.16 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/CAReportingService.xpc/Contents/MacOS/CAReportingService
  502   634     1   0  9May20 ??         1:28.31 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
  502   635     1   0  9May20 ??         0:03.24 /System/Library/CoreServices/ScopedBookmarkAgent
  502   636     1   0  9May20 ??         0:00.34 /usr/libexec/WiFiVelocityAgent
  502   637     1   0  9May20 ??         0:00.50 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
  502   638     1   0  9May20 ??         0:00.40 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
    0   639     1   0  9May20 ??         0:08.45 /usr/libexec/wifivelocityd
  502   640     1   0  9May20 ??         0:10.95 /usr/libexec/studentd
    0   646     1   0  9May20 ??         0:01.37 /usr/libexec/rtcreportingd
  502   648     1   0  9May20 ??         0:00.87 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  502   650     1   0  9May20 ??         0:01.14 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
  502   652     1   0  9May20 ??         0:02.93 /usr/libexec/fmfd
  502   653     1   0  9May20 ??         0:00.82 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdwrite
  502   654     1   0  9May20 ??         0:00.23 /usr/libexec/SidecarRelay
  502   655     1   0  9May20 ??         0:01.02 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  502   657     1   0  9May20 ??         2:47.37 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  502   658     1   0  9May20 ??         5:06.81 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
  502   659     1   0  9May20 ??         0:13.21 /usr/libexec/swcd
  247   660     1   0  9May20 ??         0:02.56 /usr/libexec/gamecontrollerd
  502   661     1   0  9May20 ??         0:01.33 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -a
  502   663     1   0  9May20 ??         0:00.08 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/81.0.4044.129/Helpers/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --database=/Users/akolbasov/Library/Application Support/Google/Chrome/Crashpad --metrics-dir=/Users/akolbasov/Library/Application Support/Google/Chrome --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=OS X --annotation=prod=Chrome_Mac --annotation=ver=81.0.4044.129 --handshake-fd=7
  235   664     1   0  9May20 ??         0:00.48 /usr/libexec/AssetCache/AssetCache
  502   665     1   0  9May20 ??         0:00.02 SafeEjectGPUAgent
  502   666     1   0  9May20 ??         0:00.33 /System/Library/CoreServices/Menu Extras/SafeEjectGPUExtra.menu/Contents/XPCServices/SafeEjectGPUService.xpc/Contents/MacOS/SafeEjectGPUService
  502   669   529   0  9May20 ??        15:50.69 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/81.0.4044.129/Helpers/Google Chrome Helper (GPU).app/Contents/MacOS/Google Chrome Helper (GPU) --type=gpu-process --field-trial-handle=1718379636,1270419140952363294,4578718367372599526,131072 --gpu-preferences=MAAAAAAAAAAgAAAAAAAAAAAAAAAAAAAAAABgAAAAAAAQAAAAAAAAAAAAAAAAAAAA6AAAABwAAADgAAAAAAAAAOgAAAAAAAAA8AAAAAAAAAD4AAAAAAAAAAABAAAAAAAACAEAAAAAAAAQAQAAAAAAABgBAAAAAAAAIAEAAAAAAAAoAQAAAAAAADABAAAAAAAAOAEAAAAAAABAAQAAAAAAAEgBAAAAAAAAUAEAAAAAAABYAQAAAAAAAGABAAAAAAAAaAEAAAAAAABwAQAAAAAAAHgBAAAAAAAAgAEAAAAAAACIAQAAAAAAAJABAAAAAAAAmAEAAAAAAACgAQAAAAAAAKgBAAAAAAAAsAEAAAAAAAC4AQAAAAAAABAAAAAAAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAGAAAAEAAAAAAAAAAAAAAABwAAABAAAAAAAAAAAAAAAAgAAAAQAAAAAAAAAAAAAAAKAAAAEAAAAAAAAAAAAAAACwAAABAAAAAAAAAAAAAAAA0AAAAQAAAAAAAAAAEAAAAAAAAAEAAAAAAAAAABAAAABgAAABAAAAAAAAAAAQAAAAcAAAAQAAAAAAAAAAEAAAAIAAAAEAAAAAAAAAABAAAACgAAABAAAAAAAAAAAQAAAAsAAAAQAAAAAAAAAAEAAAANAAAAEAAAAAAAAAAEAAAAAAAAABAAAAAAAAAABAAAAAYAAAAQAAAAAAAAAAQAAAAHAAAAEAAAAAAAAAAEAAAACAAAABAAAAAAAAAABAAAAAoAAAAQAAAAAAAAAAQAAAALAAAAEAAAAAAAAAAEAAAADQAAABAAAAAAAAAABgAAAAAAAAAQAAAAAAAAAAYAAAAGAAAAEAAAAAAAAAAGAAAABwAAABAAAAAAAAAABgAAAAgAAAAQAAAAAAAAAAYAAAAKAAAAEAAAAAAAAAAGAAAACwAAABAAAAAAAAAABgAAAA0AAAA= --shared-files
  502   670   529   0  9May20 ??         5:39.60 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/81.0.4044.129/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --field-trial-handle=1718379636,1270419140952363294,4578718367372599526,131072 --lang=en-US --service-sandbox-type=network --enable-audio-service-sandbox --shared-files --seatbelt-client=31
  502   671     1   0  9May20 ??         0:00.03 /System/Library/PrivateFrameworks/CharacterPicker.framework/Versions/A/XPCServices/com.apple.CharacterPicker.FileService.xpc/Contents/MacOS/com.apple.CharacterPicker.FileService
  502   672     1   0  9May20 ??         0:00.03 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/81.0.4044.129/XPCServices/AlertNotificationService.xpc/Contents/MacOS/AlertNotificationService
  502   673     1   0  9May20 ??         0:03.27 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
  502   679     1   0  9May20 ??         0:04.65 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.external.extra.xpc/Contents/MacOS/com.apple.dock.external.extra
  502   680     1   0  9May20 ??         0:01.94 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
  502   683     1   0  9May20 ??         0:01.10 /System/Library/PrivateFrameworks/ClassKit.framework/Versions/A/progressd
  502   684     1   0  9May20 ??         0:01.46 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
